722897.0,85241.5,6539.0,156.0,68.0,22.5
740112.0,91855.5,6973.5,159.5,68.5,22.5
757031.0,98989.0,7459.0,165.0,68.5,22.5
773382.0,106348.0,7957.0,169.5,69.0,22.5
789158.0,113889.5,8487.0,174.5,70.5,22.5
804548.5,121834.0,9070.5,175.0,71.5,22.5
819724.5,129979.5,9656.0,179.5,72.0,22.5
834235.0,138773.5,10275.0,182.0,72.5,22.5
848188.0,147815.0,10954.5,184.0,73.5,22.5
861641.5,157074.0,11657.0,191.5,74.5,22.5
874880.5,166582.5,12410.0,193.0,74.5,22.5
887591.5,176004.0,13203.0,195.5,77.0,22.5
899552.0,185696.0,14084.0,198.5,78.0,22.5
910974.5,195590.0,14910.0,201.5,80.0,22.5
922061.5,205757.5,15837.5,205.5,81.0,22.5
932768.0,216103.5,16862.0,210.0,81.5,22.5
942968.0,226469.0,17906.0,217.0,82.5,22.5
952808.5,237199.5,19022.0,225.5,83.0,22.5
962398.5,248069.5,20221.5,236.0,83.5,22.5
971703.0,258760.5,21425.0,245.0,84.0,22.5
980564.0,269484.0,22752.5,254.0,84.5,22.5
989059.0,280313.5,24170.0,267.5,84.5,22.5
997123.0,291188.0,25683.5,284.0,84.5,22.5
1.004982e6,302168.0,27274.5,300.5,85.0,22.5
1.012516e6,313045.5,28989.0,311.0,86.0,22.5
1.0197965e6,324082.0,30749.5,319.5,86.0,22.5
1.0266275e6,334911.5,32617.5,331.5,86.5,22.5
1.033176e6,345694.5,34621.0,344.0,87.0,22.5
1.039623e6,356679.5,36768.0,353.0,87.5,22.5
1.0456625e6,367404.5,39050.0,364.0,89.5,22.5
1.051779e6,378049.5,41443.5,373.0,89.5,22.5
1.0576865e6,388513.5,43885.5,380.0,90.0,22.5
1.063388e6,398797.5,46544.0,391.5,93.5,22.5
1.068699e6,409148.0,49384.5,400.0,94.5,22.5
1.0737855e6,419125.5,52350.0,412.0,96.0,22.5
1.0787205e6,428972.5,55517.0,430.5,97.0,22.5
1.0834345e6,438741.0,58827.5,451.0,99.5,22.5
1.0878265e6,448215.0,62287.0,464.0,102.5,22.5
1.092086e6,457729.5,65936.5,476.0,103.0,22.5
