City / Town,,Region,Remoteness Areas,Australian Indigenious Language nfd,Arnhem Land and Daly River Region Languages,Yolngu Matha,Cape York Peninsula Languages,Torres Strait Island Languages,Northern Desert Fringe Area Languages,Arandic,Western Desert Languages,Kimberley Area Languages,Other Australian Indigenous Languages,Total
Bullsbrook,"1,887",Perth,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Perth,Very Remote,0,0,0,0,0,0,0,0,0,0,0
Kambalda West,"1,789",Goldfields-Esperance,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Goldfields-Esperance,Very Remote,0,0,0,0,0,0,0,0,0,0,0
Little Grove,"1,703",Great Southern,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,Great Southern,Outer Regional Australia,8,0,0,0,0,0,0,0,0,0,8
Moora,"1,577",Wheatbelt,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,Wheatbelt,Outer Regional Australia,11,0,0,0,0,0,0,0,0,0,11
Wickham,"1,572",Pilbara,Remote,8,0,0,0,4,0,0,0,0,15,27
,,Pilbara,Very Remote,0,0,0,0,0,0,0,0,0,0,0
Cowaramup,"1,546",South West,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,South West,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Halls Creek,"1,546",Kimberley,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Kimberley,Very Remote,115,0,29,0,0,102,0,3,114,99,462
Mundijong,"1,484",Peel,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,Peel,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Bridgetown,"1,448",South West,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,South West,Outer Regional Australia,0,0,0,0,0,0,0,0,0,5,5
Jurien Bay,"1,425",Wheatbelt,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Wheatbelt,Very Remote,0,0,0,0,0,0,0,0,0,0,0
Paraburdoo,"1,359",Pilbara,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Pilbara,Very Remote,3,0,0,0,0,0,0,0,0,0,3
Wagin,"1,358",Wheatbelt,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,Wheatbelt,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Kalbarri,"1,349",Mid West,Remote,0,0,0,0,0,0,0,0,0,3,3
,,Mid West,Very Remote,0,0,0,0,0,0,0,0,0,0,0
Serpentine,"1,265",Peel,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Peel,Very Remote,0,0,0,0,0,0,0,0,0,0,0
Binningup,"1,227",South West,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,South West,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Kojonup,"1,165",Great Southern,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,Great Southern,Outer Regional Australia,0,0,0,0,0,0,0,0,0,4,4
Boddington-Ranford,"1,147",Peel,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Peel,Very Remote,0,0,0,0,0,0,0,0,0,0,0
Fitzroy Crossing,"1,141",Kimberley,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Kimberley,Very Remote,126,0,0,0,0,208,0,31,81,1411,1857
Augusta,"1,109",South West,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
,,South West,Outer Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Dampier,"1,104",Pilbara,Remote,0,0,0,0,0,0,0,0,0,6,6
,,Pilbara,Very Remote,4,0,0,0,0,0,0,0,0,0,4
Mandurah,"80,813",Peel,Major Cities of Australia,7,0,0,0,0,0,0,6,0,6,19
,,Peel,Inner Regional Australia,0,0,0,0,0,0,0,0,0,0,0
Wyndham,780,Kimberley,Remote,0,0,0,0,0,0,0,0,0,0,0
,,Kimberley,Very Remote,0,0,0,0,0,0,0,0,3,0,3
,"2,325,735",,,,,,,,,,,,,
