COMMON_NAME,SECONDARY_NAME,OTHER_NAMES,CATEGORY,OCCUPANCY,CORPORATION,POPULATION_ESTIMATE,LOCAL_GOVERNMENT_AUTHORITY,LOCALITY,REGIONAL_DEVELOPMENT_COMMISSION,ABS_REMOTENESS_2011,Australian Indigenious Language nfd,Arnhem Land and Daly River Region Languages,Yolngu Matha,Cape York Peninsula Languages,Torres Strait Island Languages,Northern Desert Fringe Area Languages,Arandic,Western Desert Languages,Kimberley Area Languages,Other Australian Indigenous Languages,Proportion 1,Proportion 2,Proportion 3,Proportion 4,Proportion 5,Proportion 6,Proportion 7,Proportion 8,Proportion 9,Proportion 10
Birndirri,Old Lamboo,,Remote Aboriginal Community,Permanent,Ngunjiwirri Aboriginal Corporation,4,Halls Creek,Mueller Ranges,Kimberley,Very Remote,0,0,0,0,0,4,0,0,0,0,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
Bobieding,Bernards Well,Bobeiding,Remote Aboriginal Community,Permanent,Bobieding Aboriginal Corporation,16,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,16,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Bondini,Bondini Reserve,,Town Based Community or Reserve,Permanent,Marruwayura Aboriginal Corporation - In Liquidation,75,Wiluna,Wiluna,Mid West,Very Remote,0,0,0,0,0,0,0,60,0,0,0%,0%,0%,0%,0%,0%,0%,80%,0%,0%
Brubrunganjal,Kitty Wells,"Brubrunajal, Brubrungangal, Kitty Well",Remote Aboriginal Community,Permanent,Brubrunganjal Aboriginal Corporation,19,Broome,Lagrange,Kimberley,Very Remote,0,0,0,0,0,0,0,0,19,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Budgarjook,Red Soil,,Remote Aboriginal Community,Permanent,Budgarjook Aboriginal Corporation,20,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,20,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Bulgin,,Bulgun,Remote Aboriginal Community,Permanent,Bulanjarr Aboriginal Corporation,7,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,7,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Burawa,,,Town Based Community or Reserve,Permanent,Burawa Inc.,28,Derby-West Kimberley,Fitzroy Crossing,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,28,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Burringurrah,Mount James Station,Mt James,Remote Aboriginal Community,Permanent,BURRINGURRAH COMMUNITY ABORIGINAL CORPORATION,143,Upper Gascoyne,Gascoyne River,Gascoyne,Very Remote,0,0,0,0,0,0,0,0,0,12,0%,0%,0%,0%,0%,0%,0%,0%,0%,8%
Burrguk,Banana Wells,,Remote Aboriginal Community,Permanent,Burrguk Aboriginal Corporation,5,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,5,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Buttah Windee,Gidgee Gully,,Remote Aboriginal Community,Permanent,Buttah Windee Aboriginal Corp,30,Meekatharra,Meekatharra,Mid West,Very Remote,17,0,0,0,0,0,0,0,0,7,57%,0%,0%,0%,0%,0%,0%,0%,0%,23%
Carnot Springs,,,Remote Aboriginal Community,Permanent,Carnot Springs Aboriginal Corp,2,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,2,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Weymul,Chirritta Station,Cheratta,Remote Aboriginal Community,Permanent,Weymul Aboriginal Corporation,6,Roebourne,Maitland,Pilbara,Very Remote,0,0,0,0,0,0,0,6,0,0,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
Chile Creek,Jilirr,Jilere,Remote Aboriginal Community,Permanent,Chile Creek Aboriginal Corporation,4,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,4,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Ngunulum,Cockatoo Springs,,Remote Aboriginal Community,Permanent,Ngunulum Aboriginal Corporation,30,Wyndham-East Kimberley,Lake Argyle,Kimberley,Very Remote,0,0,0,0,0,0,0,0,30,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
