443,77,0,0,0,72,187,193,189,50,10,56,63,0,0,0,0,0,0,0,0,0,0,0,0,40,34,0,0,22,0,0,10,0,34,0,10,0,0,0,86,0,0,0,0,0,0,0,34,0,0,0,0,0,0,48,63,0,80,10,23,91,106,41,8,9,318,53,5,19,77,247,48,14,34,61,11,109,5,16,61,17,18,10,105,69,9,76,5,19,8,22,9,58,144,17,63,6,10,97,10,131,5,27,130,16,9,20,9,12,14,89,14,5,12,126,44,15,56,4,21,10,31,10,18,15,17,17,22,134,56,75,106,10,6,6,125,9,12,131,111,14,11,267,20,126,13,77,20,111,60,6,8,123,120,14,113,63,207,35,33,21,109,9,26,9,15,47,19,10,26,99,47,27,25,14,9,10,6,11,43,103,11,196,84,21,14,12,48,33,11,180,65,53,204,108,74,12,4,50,13,35,5,129,29,19,14,43,126,126,44,15,22,38,12,11,48,22,9,18,8,52,13,15,7,96,79,101,6,51,98,5,59,18,57,14,5,7,14,16,14,72,20,62,58,189,76,18,242,118,139,184,27,15,27,47,109,142,57,17,32,29,12,5,20,198,15,11,10,18,28,43,77,54,334,65,101,60,109,4,56,27,11,36,13,11,128,69,76,61,33,91,110,50,72,323,161
77,17,0,0,0,16,33,34,33,9,0,13,10,10,10,0,0,0,0,10,0,0,0,0,0,12,5,0,0,11,0,0,0,0,11,0,0,0,0,0,15,10,0,0,10,0,0,0,5,0,10,0,0,0,10,8,11,0,0,0,0,15,17,0,0,0,54,12,0,0,12,40,0,0,0,12,0,18,0,0,0,0,0,0,17,11,0,15,0,0,0,0,0,6,23,0,10,0,0,14,0,21,0,0,22,0,0,0,0,0,0,14,0,0,0,20,7,0,11,0,0,0,0,0,0,0,0,0,0,22,0,0,8,0,0,0,20,0,0,0,18,0,0,45,0,20,0,17,0,18,9,0,0,21,19,0,19,10,34,0,0,0,18,0,0,0,0,9,0,0,0,17,9,4,0,0,0,0,0,0,0,19,0,32,17,0,0,0,8,5,0,29,11,0,34,18,12,0,0,0,0,0,0,21,0,0,0,0,20,20,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,22,0,0,40,0,26,30,0,0,0,0,18,28,0,0,7,0,0,0,0,32,0,0,0,0,0,0,12,0,55,0,16,9,18,0,9,0,0,0,0,0,21,11,0,11,0,0,24,0,0,56,26
0,0,44,43,21,0,0,87,70,0,0,0,0,0,0,27,18,48,14,0,0,14,159,15,23,0,0,3,0,0,72,0,0,29,0,13,0,0,13,15,0,0,79,0,13,0,8,0,10,0,0,12,0,235,0,9,0,0,20,0,0,27,30,14,0,0,98,19,0,0,23,74,0,0,0,21,0,33,0,0,18,0,0,0,32,21,0,27,0,4,0,0,0,16,43,4,19,0,0,26,0,39,0,0,40,0,0,0,0,0,0,27,0,0,0,38,13,0,18,0,0,0,0,0,0,0,0,0,0,40,14,18,28,0,0,0,37,0,0,32,33,0,0,81,0,38,0,27,0,33,18,0,0,39,36,0,34,19,63,8,13,0,33,0,0,0,0,14,0,0,0,32,14,8,6,0,0,0,0,0,10,33,0,60,28,0,0,0,14,8,0,54,20,13,62,33,22,0,0,12,0,0,0,39,7,4,0,10,38,38,14,0,0,9,0,0,0,0,0,0,0,16,0,0,0,25,19,31,0,12,24,0,18,0,14,0,0,0,0,0,0,21,6,15,14,53,19,0,74,29,44,56,0,0,0,15,33,48,14,0,11,0,0,0,0,60,0,0,0,0,0,10,23,16,101,19,31,18,33,0,17,6,0,0,0,0,38,21,19,20,8,22,39,16,18,100,49
0,0,43,128,22,0,0,77,19,10,0,0,0,0,0,92,21,52,0,0,0,0,88,17,0,0,0,18,0,0,16,0,0,17,0,22,0,10,22,26,0,0,87,0,0,0,13,0,0,0,0,0,0,107,0,16,0,0,105,0,0,0,33,54,0,0,48,32,0,0,0,52,0,0,0,30,0,0,0,0,81,0,0,0,0,0,0,32,0,25,0,0,0,68,0,23,0,0,0,16,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,74,99,132,0,0,0,0,0,0,173,0,0,0,34,0,0,0,46,0,0,0,0,0,120,0,0,13,0,0,47,44,0,0,0,0,0,0,24,0,0,0,93,24,28,33,0,0,0,0,0,56,48,0,40,47,0,0,0,0,13,0,0,41,70,29,17,0,0,0,66,0,0,0,0,39,25,0,57,0,0,31,0,0,50,0,0,0,0,0,0,0,0,0,0,0,123,104,0,0,67,129,0,78,0,74,0,0,0,0,0,0,0,0,82,77,221,100,0,60,156,57,29,0,0,0,62,0,108,75,0,19,0,0,0,0,0,0,0,0,0,0,56,0,72,26,86,0,0,0,0,0,36,0,0,0,0,0,0,101,26,44,120,65,66,95,65,0
0,0,21,22,15,0,0,42,33,0,0,0,0,0,0,11,9,27,6,0,0,12,77,8,9,0,0,10,0,0,34,0,0,13,0,12,0,0,12,9,0,0,46,0,6,0,4,0,0,0,0,11,0,114,0,5,0,0,0,0,0,12,16,0,5,6,47,11,0,0,10,35,0,0,0,12,0,15,4,0,0,0,0,0,14,9,0,13,0,0,0,0,0,6,20,0,8,4,0,12,0,18,0,0,19,0,6,0,0,0,10,12,10,4,0,17,6,0,10,0,0,0,0,0,0,0,0,0,0,18,0,0,8,0,4,4,17,0,0,0,15,0,0,40,0,17,9,16,0,16,8,4,6,20,17,10,16,8,29,0,0,0,15,6,0,6,11,16,13,0,0,16,16,4,0,0,0,0,4,8,0,21,0,31,18,0,10,0,6,6,0,25,11,0,30,16,10,0,0,0,0,0,0,18,0,0,10,0,17,17,11,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,14,4,0,0,0,0,12,0,0,4,0,0,0,0,10,2,0,0,20,0,0,35,0,24,25,0,0,0,0,15,28,0,0,6,0,0,4,14,29,0,0,0,0,20,0,10,0,49,0,14,8,15,0,8,0,0,0,0,0,18,9,0,10,0,0,25,0,0,49,22
72,16,0,0,0,16,31,31,31,9,0,13,9,10,10,0,0,0,0,10,0,0,0,0,0,11,5,0,0,11,0,0,0,0,11,0,0,0,0,0,14,10,0,0,10,0,0,0,5,0,10,0,0,0,10,7,10,0,0,0,0,13,16,0,0,0,49,12,0,0,11,36,0,0,0,12,0,16,0,0,0,0,0,0,15,10,0,14,0,0,0,0,0,6,21,0,9,0,0,13,0,19,0,0,20,0,0,0,0,0,0,13,0,0,0,18,6,0,10,0,0,0,0,0,0,0,0,0,0,20,0,0,8,0,0,0,18,0,0,0,16,0,0,41,0,18,0,17,0,16,9,0,0,21,18,0,17,9,31,0,0,0,16,0,0,0,0,9,0,0,0,17,9,4,0,0,0,0,0,0,0,18,0,30,17,0,0,0,7,5,0,27,11,0,31,16,11,0,0,0,0,0,0,19,0,0,0,0,18,18,9,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,22,0,0,36,0,25,27,0,0,0,0,16,28,0,0,7,0,0,0,0,29,0,0,0,0,0,0,11,0,50,0,15,9,16,0,8,0,0,0,0,0,19,10,0,11,0,0,24,0,0,51,24
187,33,0,0,0,31,81,81,81,21,0,23,26,0,0,10,0,0,0,0,0,0,0,10,0,16,14,0,0,11,0,0,0,0,14,0,0,0,0,0,38,0,0,0,0,0,10,0,14,0,0,0,0,0,0,22,27,0,22,0,0,37,41,11,4,5,133,26,0,0,31,101,0,0,0,30,0,45,3,0,17,0,0,0,43,28,0,34,0,11,0,0,0,20,59,5,26,3,0,36,0,54,0,0,54,0,5,0,0,0,9,36,8,3,0,52,18,0,27,0,0,0,0,0,0,0,0,0,0,55,18,23,33,0,4,3,50,0,0,38,45,0,0,111,0,52,8,38,0,45,24,3,5,52,49,8,47,26,85,10,9,0,45,6,0,5,9,23,11,0,0,42,23,10,12,0,0,0,3,7,15,46,0,82,39,0,8,0,20,12,0,74,28,15,84,45,30,0,0,14,0,0,0,53,13,11,8,15,52,52,21,0,0,10,0,0,0,0,0,0,0,21,0,0,0,29,24,42,3,14,27,0,16,11,18,0,3,0,0,0,0,29,12,17,16,66,23,0,100,33,60,76,0,0,0,13,45,65,15,0,16,0,0,3,12,82,0,0,0,0,17,15,31,15,138,18,42,24,45,0,23,12,0,0,0,0,52,28,21,27,9,27,54,14,22,136,67
193,34,87,77,42,31,81,342,176,27,0,24,26,0,0,61,34,191,32,0,0,32,384,27,46,16,14,29,0,11,159,0,0,57,14,18,0,0,18,21,37,0,234,0,30,0,11,0,14,0,0,26,0,534,0,24,27,29,57,49,106,73,238,29,17,19,251,37,27,86,62,197,216,67,156,44,52,87,14,74,44,80,82,49,84,54,42,56,27,14,38,101,42,41,114,12,51,15,46,204,46,104,27,120,102,74,19,90,42,56,29,71,27,14,56,100,36,71,41,20,96,49,142,46,82,71,76,76,99,106,40,54,75,46,16,15,140,42,56,94,88,64,52,232,92,100,26,62,92,122,48,15,19,86,96,27,90,51,165,25,24,96,87,20,118,19,30,77,37,46,119,69,77,19,18,64,42,46,15,23,30,87,52,161,147,97,28,56,40,106,52,142,50,38,189,84,60,56,20,36,58,159,27,103,21,14,27,31,100,100,36,69,101,27,56,52,215,101,42,82,38,43,58,71,33,69,56,81,15,36,70,27,42,35,40,64,14,33,67,74,64,58,15,45,42,134,54,82,195,85,201,146,123,71,125,33,87,103,41,80,24,130,56,14,38,159,69,52,49,82,53,30,62,39,272,47,81,48,87,20,46,19,52,164,58,52,101,55,55,75,24,65,89,36,52,255,127
189,33,70,19,33,31,81,176,161,23,0,22,25,0,0,32,26,70,28,0,0,28,286,22,39,15,13,0,0,12,136,0,0,47,13,6,0,0,6,8,40,0,117,0,25,0,10,0,13,0,0,22,0,432,0,22,27,0,31,6,14,63,68,16,0,0,219,29,3,11,54,171,28,8,20,38,6,76,0,9,24,10,10,6,73,48,5,47,3,12,4,13,5,25,100,7,44,0,6,66,6,91,3,16,89,9,0,12,5,7,0,62,0,0,7,88,31,9,37,2,12,6,18,6,10,9,10,10,13,93,24,31,44,6,0,0,87,5,7,52,77,8,6,184,12,88,0,43,12,77,41,0,0,62,83,0,78,44,145,14,13,12,76,0,15,0,0,23,0,6,15,50,23,13,14,8,5,6,0,0,19,64,6,134,47,12,0,7,34,18,6,126,39,21,140,74,52,7,2,20,7,21,3,90,15,12,0,20,88,88,23,9,13,15,7,6,28,13,5,10,4,36,7,9,4,39,32,71,0,20,38,3,23,0,27,8,0,4,8,9,8,50,17,24,23,84,31,10,166,46,87,128,16,9,16,18,76,76,22,10,18,17,7,0,0,138,9,6,6,10,0,19,54,21,232,25,71,41,76,2,39,14,6,21,7,6,89,48,30,38,13,37,61,20,30,220,113
50,9,0,10,0,9,21,27,23,13,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,3,0,0,10,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,8,0,17,5,11,7,27,9,0,0,30,9,2,9,6,22,23,7,16,9,5,9,0,8,13,8,8,5,9,6,4,11,2,4,4,10,4,12,12,3,5,0,4,22,4,11,2,13,12,8,0,9,4,6,0,7,0,0,6,10,3,7,8,2,10,5,15,4,8,7,8,8,10,11,12,16,22,4,0,0,15,4,6,28,9,6,5,27,10,10,0,14,10,13,5,0,0,24,10,0,10,5,18,7,7,10,9,0,12,0,0,9,0,4,12,19,9,5,5,6,4,4,0,0,9,15,5,19,20,10,0,6,4,12,5,15,9,11,22,10,6,6,2,10,6,17,2,11,6,4,0,9,10,10,8,7,10,8,6,5,23,10,4,8,4,4,6,7,3,20,17,8,0,11,21,2,12,0,12,6,0,3,7,8,6,6,1,13,12,39,16,8,24,25,27,16,13,7,13,10,9,26,12,8,6,14,6,0,0,17,7,5,5,8,0,9,6,11,30,14,8,5,9,2,4,6,5,17,6,5,11,6,16,11,7,19,20,10,15,33,13
