25.75,54.0,200.25,7.0,11.0,18.0,13.0,43.5,77.75,9.75,20.5,47.0,15.0,19.0,27.5,11.0,15.5,21.0,13.0,16.0,20.0,8.0,11.0,14.0
27.0,59.5,222.5,7.0,11.0,18.25,14.0,45.0,86.25,10.75,21.0,48.5,15.0,20.0,29.25,11.0,16.0,22.0,13.0,16.0,20.0,8.75,11.0,14.0
28.0,73.5,269.0,7.0,12.0,20.0,15.0,48.0,97.25,10.75,21.0,53.0,15.0,21.0,29.25,11.0,16.0,22.25,13.75,16.0,20.0,8.75,11.0,14.0
31.0,85.5,335.0,7.0,12.0,20.0,15.0,50.0,105.5,10.75,22.5,54.25,15.0,22.0,30.0,11.0,17.0,23.0,14.0,16.5,21.0,8.75,11.5,14.0
31.75,95.5,403.0,7.0,12.0,20.0,15.0,55.5,115.25,10.75,22.5,57.25,16.0,22.0,30.25,11.75,17.0,24.0,14.0,17.0,21.25,8.75,12.0,14.0
33.0,105.5,547.0,7.0,12.0,21.25,17.0,57.5,121.25,10.75,23.5,58.5,16.0,22.0,31.25,12.0,17.0,24.25,14.0,17.0,21.5,8.75,12.0,15.0
34.75,122.5,650.5,7.75,12.5,22.0,17.0,62.0,132.0,11.5,23.5,61.25,16.0,23.0,32.0,12.0,17.0,25.25,14.0,17.5,22.25,8.75,12.0,15.0
38.5,170.0,802.5,7.75,13.0,24.25,17.0,65.0,138.75,11.5,25.0,64.75,16.0,23.0,33.25,12.75,18.0,26.0,14.0,18.0,23.25,8.75,12.0,15.0
41.75,199.5,1062.25,7.75,13.0,25.5,18.0,67.5,153.5,12.0,26.5,66.75,17.0,23.0,34.25,12.75,18.5,26.0,14.75,18.0,23.5,8.75,12.0,15.0
48.75,234.0,1457.0,7.75,13.0,28.0,18.75,73.5,162.25,12.0,29.0,72.75,17.75,23.0,35.25,12.75,19.0,26.0,15.0,18.5,25.0,9.0,12.5,15.0
56.25,277.0,1831.75,7.75,13.5,28.25,18.75,76.0,181.25,13.75,31.5,74.0,18.0,24.0,37.25,13.0,19.0,26.25,15.0,18.5,26.0,9.0,12.5,15.25
58.5,302.0,2135.25,7.75,14.0,29.0,20.5,79.5,188.25,14.0,33.5,76.25,18.75,25.0,38.25,13.0,20.0,27.0,15.0,19.0,26.0,9.0,12.5,16.0
65.5,336.0,2582.5,7.75,14.0,29.25,21.75,87.0,203.5,14.0,37.0,79.0,19.0,25.0,39.0,14.0,20.0,27.25,15.0,19.0,26.0,9.0,12.5,16.0
70.75,374.5,3020.25,7.75,14.0,30.25,22.5,94.5,212.5,14.75,38.0,82.25,19.0,26.0,40.25,14.0,20.5,28.25,15.0,19.5,26.0,9.0,12.5,16.0
74.5,408.0,3431.75,8.0,14.0,30.25,23.25,99.0,225.25,15.75,39.0,86.25,19.75,27.0,41.5,14.0,21.0,29.0,15.0,20.0,27.0,9.0,12.5,16.0
77.0,485.5,4161.5,8.0,14.0,32.0,24.5,104.5,235.5,16.75,39.0,94.25,19.75,27.0,43.0,14.0,21.0,29.0,15.0,21.0,27.25,9.0,12.5,16.0
84.0,541.0,5288.25,8.0,14.5,44.0,26.25,116.0,260.5,16.75,39.5,96.25,20.0,27.5,44.0,14.0,21.0,30.0,15.0,21.0,27.25,9.0,13.0,16.0
90.25,747.5,6409.25,8.0,14.5,45.0,27.75,123.0,280.0,17.5,40.0,99.75,20.0,28.0,46.0,14.0,21.0,31.0,15.75,21.0,28.25,9.0,13.0,16.0
102.25,860.0,7919.0,8.0,15.0,46.25,28.5,130.0,298.25,17.5,43.0,105.25,20.0,28.5,47.0,14.0,22.0,31.0,15.75,21.0,29.0,9.0,13.0,16.0
110.75,1057.0,9765.0,8.0,15.5,47.0,31.0,132.0,318.5,18.75,45.0,111.0,21.0,29.0,48.0,14.0,22.0,31.0,16.0,21.5,29.25,9.0,13.0,16.0
126.75,1286.5,11278.25,8.0,16.0,47.75,31.0,137.5,344.5,19.75,45.5,116.0,21.0,30.5,49.25,14.0,22.0,32.0,16.0,21.5,29.25,9.0,13.0,16.0
148.5,1563.0,13028.0,8.0,16.0,48.5,32.5,143.0,369.0,19.75,50.0,123.0,21.0,31.0,50.0,14.0,22.0,33.0,16.0,22.0,31.0,9.0,13.0,16.0
170.0,1856.5,15235.5,8.0,16.5,49.5,35.5,150.0,410.5,19.75,50.5,128.25,21.0,31.0,51.0,14.0,22.0,33.0,16.0,22.0,31.25,9.0,13.0,16.0
201.25,2121.5,17919.0,8.0,16.5,49.75,36.75,152.0,442.5,19.75,55.5,133.25,22.0,32.5,51.25,14.0,23.5,33.0,16.0,22.0,32.0,9.0,13.0,16.0
218.5,2583.0,20702.0,8.0,16.5,52.0,39.5,158.5,468.25,20.0,57.5,136.5,22.0,33.0,52.0,14.0,23.5,33.0,16.75,22.0,32.25,9.0,13.0,16.0
234.0,3342.5,23817.5,8.0,16.5,58.25,40.25,171.0,506.25,20.0,59.5,141.0,23.75,33.0,52.25,14.0,24.0,33.25,17.0,22.0,33.0,9.0,13.0,16.0
252.25,4022.5,27847.75,8.0,16.5,62.25,40.5,180.5,545.0,20.0,62.0,152.0,24.75,34.5,54.0,14.0,24.0,34.0,17.0,22.5,33.0,9.0,13.0,16.0
285.25,4895.5,31986.75,8.0,16.5,66.75,42.75,188.0,578.0,20.0,64.5,157.0,24.75,35.0,54.25,14.0,25.0,34.0,17.0,23.0,33.25,9.0,13.0,17.0
316.5,5846.0,36768.0,8.0,16.5,66.75,45.5,203.0,597.25,20.75,68.0,164.25,24.75,36.0,56.0,14.0,25.0,34.0,17.0,23.0,33.5,9.0,13.0,17.0
350.0,7564.5,41897.25,8.0,17.0,66.75,50.25,225.5,638.25,21.0,70.5,169.0,24.75,37.0,58.0,15.0,25.0,35.0,17.75,23.0,34.5,9.0,13.0,17.0
417.0,9124.5,47747.75,8.0,17.0,69.75,52.0,246.5,677.5,21.0,75.0,178.75,24.75,38.5,59.0,15.0,25.0,36.0,17.75,23.0,34.5,9.0,13.5,17.0
469.0,10679.0,54186.5,8.0,17.0,73.25,54.5,265.5,716.25,21.0,77.5,186.75,25.75,38.5,61.25,15.0,25.0,36.0,17.75,23.0,35.5,9.0,13.5,17.0
551.75,12509.0,61056.25,8.0,17.0,81.0,57.25,286.0,755.0,21.75,79.5,197.25,26.0,39.0,62.25,15.75,25.0,36.0,18.0,23.0,37.25,9.0,13.5,17.0
637.5,14788.0,68791.75,8.0,17.0,84.0,58.0,305.5,804.75,22.0,80.5,205.5,26.0,39.0,62.25,15.75,25.0,36.25,18.0,23.0,37.25,9.0,13.5,17.0
702.5,17350.5,77540.75,8.0,17.0,85.5,60.5,336.5,855.75,24.0,83.0,211.25,26.0,39.0,65.0,15.75,25.5,37.0,18.0,23.0,38.0,9.0,13.5,17.0
831.5,20238.0,87057.75,8.0,17.0,86.5,61.25,353.5,896.75,24.0,87.5,217.5,26.0,39.5,66.0,15.75,25.5,37.25,18.0,23.0,38.5,9.0,13.5,17.0
994.75,23405.5,96509.5,8.0,17.0,93.0,62.0,371.5,956.25,25.75,90.0,221.0,26.0,40.5,67.25,16.0,25.5,37.25,18.0,23.5,39.25,9.0,13.5,17.0
1181.25,27081.0,107009.25,8.0,17.0,99.25,64.0,396.0,1010.0,25.75,93.5,224.75,26.0,41.0,68.0,16.0,26.0,38.0,18.0,23.5,39.25,9.0,13.5,17.0
1336.5,31044.0,118270.5,8.0,17.0,103.75,70.0,419.0,1062.5,25.75,95.5,236.5,26.0,41.0,68.25,16.0,26.0,38.5,18.0,23.5,40.0,9.0,13.5,17.0
1558.5,35396.5,130163.0,8.0,17.0,104.75,75.25,448.0,1134.75,26.75,102.0,252.0,26.75,41.5,70.25,16.0,26.0,38.5,18.0,24.0,40.0,9.0,13.5,17.0
1764.0,40491.5,142914.5,8.0,17.0,106.75,81.0,480.0,1207.25,26.75,107.5,260.75,26.75,41.5,71.0,16.0,26.0,40.0,18.0,24.0,40.0,9.0,13.5,17.25
2037.0,46558.5,156480.25,8.0,17.0,107.5,86.75,513.0,1290.75,26.75,108.5,266.5,26.75,42.0,72.0,16.0,26.0,40.0,18.0,24.0,40.5,9.0,13.5,17.25
2508.0,53031.0,170691.5,8.0,17.5,109.75,92.75,544.0,1391.5,27.75,115.0,280.75,27.0,43.0,72.25,16.0,26.0,40.0,18.0,24.0,40.5,9.0,13.5,17.25
3171.25,59842.0,185856.75,8.0,17.5,111.25,98.75,576.5,1479.75,27.75,119.0,290.75,27.0,43.0,73.25,16.0,26.5,40.25,18.0,24.0,40.5,9.0,13.5,17.25
3879.0,67493.5,201640.75,8.0,17.5,117.75,103.25,613.0,1578.25,29.25,122.5,303.25,28.0,43.5,75.25,16.0,28.0,41.0,18.0,25.0,42.0,9.0,13.5,17.25
4794.0,75767.5,218058.0,8.0,18.0,129.5,107.0,653.0,1681.0,29.25,129.5,321.25,28.0,44.0,76.0,16.0,28.0,41.0,18.0,25.0,42.0,9.0,13.5,18.0
6090.5,85006.0,234914.5,8.0,18.0,134.75,114.5,692.5,1788.75,30.75,135.0,339.0,28.0,45.0,77.0,16.0,28.0,41.25,18.0,25.0,42.0,9.0,13.5,18.0
7850.5,95034.0,252497.0,8.0,18.0,178.25,126.5,739.0,1899.25,31.75,147.5,358.0,28.0,45.0,78.5,16.0,28.0,42.0,18.0,25.0,42.25,9.0,13.5,18.0
9405.5,105475.5,270434.0,8.0,18.0,184.0,138.5,793.0,2021.5,32.75,157.5,370.25,28.0,45.5,79.25,17.0,28.0,42.0,18.0,25.0,42.25,9.0,13.5,18.0
11223.0,116774.5,289057.25,8.0,18.5,194.5,144.75,858.5,2156.0,32.75,163.0,380.5,28.0,46.0,81.25,17.0,29.0,42.25,18.0,25.0,42.25,9.0,13.5,18.0
13258.5,128953.5,308273.5,8.0,18.5,202.0,156.75,906.5,2307.25,32.75,165.5,400.5,28.0,46.5,83.25,17.0,29.0,42.25,18.0,25.0,43.25,9.0,13.5,18.0
15560.5,141961.0,327946.25,8.0,18.5,212.0,164.75,968.0,2458.0,32.75,171.5,422.5,28.0,47.0,83.5,17.0,29.5,43.0,18.0,25.0,43.25,9.0,13.5,18.0
17885.0,155511.5,347826.0,8.0,18.5,229.0,178.75,1033.0,2614.25,32.75,176.5,441.25,28.0,47.5,85.25,17.0,29.5,43.0,18.0,25.0,43.5,9.0,13.5,18.0
20865.75,169610.5,368084.0,8.0,18.5,237.5,198.25,1093.0,2767.25,33.0,185.5,462.5,28.0,48.0,88.0,17.0,30.0,43.0,18.0,25.0,43.5,9.0,13.5,18.0
24382.25,184394.0,388643.5,8.0,18.5,245.25,208.25,1155.0,2970.25,36.0,197.5,486.25,28.75,48.0,88.75,17.0,31.0,43.0,18.0,25.0,44.25,9.0,13.5,18.0
28577.75,199899.0,409247.25,8.0,18.5,255.0,217.0,1232.0,3164.0,36.0,205.5,502.5,28.75,49.0,90.75,17.0,31.0,43.0,18.0,25.0,45.0,9.0,13.5,18.0
33224.0,216067.5,429914.25,8.0,18.5,264.75,221.75,1311.5,3381.0,36.0,209.0,518.5,28.75,50.0,93.5,17.0,31.5,43.5,18.0,25.0,45.0,9.0,13.5,18.0
38467.0,232984.5,450618.25,8.0,18.5,274.75,235.5,1376.0,3584.25,36.0,213.0,549.5,29.0,50.5,95.25,17.0,31.5,44.25,18.0,25.0,46.0,9.0,13.5,18.0
44394.5,250810.5,471271.25,8.0,18.5,281.5,251.5,1460.0,3850.0,36.0,216.5,576.5,29.0,50.5,95.5,17.0,31.5,45.25,18.0,25.0,46.0,9.0,13.5,18.0
50839.5,268994.0,492135.25,8.0,18.5,295.25,260.5,1547.0,4117.25,36.25,223.5,602.5,29.0,51.0,97.25,17.0,32.0,45.25,18.0,26.0,46.0,9.0,13.5,18.0
57760.75,287783.5,512965.25,8.0,18.5,308.75,273.0,1633.5,4387.5,36.75,232.5,628.5,29.0,51.5,99.25,17.0,32.0,45.5,18.0,26.0,46.0,9.0,13.5,18.0
65593.75,306684.5,533354.0,8.0,19.0,326.25,282.75,1728.0,4666.25,37.0,238.5,657.5,29.0,53.0,100.25,17.0,32.0,46.25,18.0,26.0,46.25,9.0,13.5,18.0
74218.75,325985.0,553886.5,8.0,19.0,343.25,294.5,1822.5,5003.0,37.75,245.0,685.75,29.0,55.0,102.0,17.0,32.0,47.25,18.0,26.0,47.0,9.0,13.5,18.0
83535.75,345834.5,574297.5,8.0,19.0,369.75,309.25,1932.5,5361.0,39.5,249.0,710.0,30.5,55.0,104.25,17.0,32.0,48.0,18.0,26.0,47.25,9.0,13.5,18.0
93600.25,365811.5,594518.25,8.0,19.0,392.0,320.5,2039.5,5700.75,39.5,251.0,747.75,31.5,55.5,104.5,17.0,32.0,48.25,18.0,26.0,47.25,9.0,13.5,18.0
104227.0,386098.5,614421.5,8.0,19.0,460.25,335.5,2165.5,6077.0,39.75,255.0,779.0,31.5,57.0,105.0,17.0,32.0,48.5,18.0,26.0,47.25,9.0,13.5,18.0
115647.25,406545.0,634097.0,8.0,19.0,510.0,352.0,2299.0,6445.25,40.0,257.5,812.0,31.5,58.0,105.75,17.0,33.0,48.5,18.0,26.5,47.5,9.0,13.5,18.0
127940.5,427119.5,653304.0,8.0,19.0,580.75,368.75,2444.0,6862.25,40.0,262.0,844.5,31.5,58.0,105.75,17.0,33.0,49.25,18.0,26.5,47.5,9.0,13.5,18.0
140763.0,447773.5,672042.25,8.0,19.0,649.25,381.75,2629.0,7286.0,40.0,273.5,873.0,31.5,59.0,108.25,17.0,33.0,50.75,18.0,26.5,48.25,9.0,13.5,18.0
154252.5,468524.0,690669.75,8.0,19.0,711.0,412.25,2807.5,7748.5,40.0,286.5,909.75,31.5,59.0,111.0,17.0,33.5,51.0,18.0,26.5,48.25,9.0,13.5,18.0
168360.5,489276.0,708740.0,8.0,19.0,754.0,440.75,3002.5,8229.25,41.5,291.0,944.5,31.5,59.5,112.75,17.0,33.5,53.0,18.0,26.5,48.25,9.0,13.5,18.0
182974.75,510035.0,726375.5,8.0,19.0,817.75,474.75,3205.0,8751.5,43.0,296.0,979.0,31.5,59.5,113.5,17.0,33.5,53.75,18.0,26.5,48.25,9.0,13.5,18.0
198211.5,530912.0,743519.5,8.0,19.0,872.25,506.0,3415.5,9340.5,43.75,306.5,1024.0,31.5,59.5,115.0,17.0,33.5,53.75,18.0,26.5,49.0,9.0,13.5,18.0
214360.75,551275.5,760377.25,8.0,19.0,943.75,533.5,3631.0,9927.5,43.75,314.0,1056.25,31.5,59.5,116.75,17.0,33.5,53.75,18.0,26.5,49.0,9.0,13.5,18.0
231349.0,571567.0,776491.0,8.0,19.0,978.25,575.5,3866.5,10507.25,43.75,319.5,1095.0,31.5,60.5,118.0,17.0,33.5,53.75,18.0,27.0,49.25,9.0,13.5,18.0
248469.5,591784.5,792374.25,8.0,19.0,1025.75,614.75,4103.0,11142.0,43.75,328.0,1142.25,31.5,60.5,118.5,17.0,33.5,53.75,18.0,27.0,50.25,9.0,13.5,18.0
266315.0,611595.5,807537.5,8.0,19.0,1073.75,654.75,4392.0,11812.75,44.5,338.0,1195.0,31.5,61.0,119.75,17.0,34.0,54.75,18.0,27.0,51.0,9.0,13.5,18.0
285142.75,630996.5,822155.0,8.0,19.0,1124.75,708.5,4704.0,12555.0,46.0,344.5,1243.0,31.75,62.0,119.75,17.0,34.0,54.75,18.0,27.0,51.0,9.0,13.5,18.0
304221.75,650184.0,836411.75,8.0,19.0,1182.25,755.0,5018.0,13341.5,46.0,354.5,1293.0,31.75,63.0,120.25,17.0,34.0,54.75,18.0,27.0,51.0,9.0,13.5,18.0
323350.5,669122.5,850101.25,8.0,19.0,1371.0,808.5,5367.5,14181.0,46.0,368.5,1343.0,31.75,65.5,121.0,17.0,34.0,54.75,18.0,27.0,51.0,9.0,13.5,18.0
343019.5,687367.0,863446.5,8.0,19.0,1557.0,862.0,5703.0,15074.0,46.0,381.0,1388.25,31.75,66.0,121.75,17.0,34.0,54.75,18.0,27.0,51.5,9.0,13.5,18.0
362943.75,705342.0,876264.0,8.0,19.0,2155.5,922.25,6094.5,16114.5,48.25,395.5,1429.75,32.0,67.0,123.25,17.0,34.0,54.75,18.0,27.0,51.75,9.0,13.5,18.0
383234.0,722897.0,888683.0,8.0,19.0,2628.0,978.25,6539.0,17206.25,49.0,414.5,1482.5,32.0,68.0,124.75,17.0,34.0,54.75,18.0,27.0,51.75,9.0,13.5,18.0
403831.5,740112.0,900744.5,8.0,19.0,3138.5,1036.0,6973.5,18330.25,49.0,432.5,1530.0,32.0,68.5,125.5,17.0,34.0,54.75,18.0,27.0,52.0,9.0,13.5,18.0
424779.75,757031.0,912094.5,8.0,19.0,3495.5,1107.5,7459.0,19468.5,49.0,448.0,1591.0,32.75,68.5,127.0,17.0,34.0,55.5,18.0,27.0,53.5,9.0,13.5,18.0
445776.75,773382.0,923085.0,8.0,19.0,4127.25,1175.5,7957.0,20697.0,49.0,469.0,1646.25,32.75,69.0,128.5,17.0,34.0,55.5,18.0,27.0,53.5,9.0,13.5,18.0
