City / Town,,Region,Remoteness Areas,Locality,Australian Indigenious Language nfd,Arnhem Land and Daly River Region Languages,Yolngu Matha,Cape York Peninsula Languages,Torres Strait Island Languages,Northern Desert Fringe Area Languages,Arandic,Western Desert Languages,Kimberley Area Languages,Other Australian Indigenous Languages
Djugerari,58,Kimberley,Very Remote,St George Ranges,0,0,0,0,0,0,0,0,0,43
Djulburr,2,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,2,0
Dodnun,43,Kimberley,Very Remote,Gibb,0,0,0,0,0,0,0,0,43,0
Joy Springs,60,Kimberley,Very Remote,St George Ranges,8,0,0,0,0,0,0,0,0,39
Gulgagulganeng,16,Kimberley,Very Remote,Kununurra,0,0,0,0,0,0,0,0,16,0
Fly Well,11,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,11,0,0,0,0
Four Mile,24,Kimberley,Very Remote,Lake Argyle,0,0,0,0,0,0,0,0,24,0
Frazier Downs,5,Kimberley,Very Remote,Lagrange,0,0,0,0,0,0,0,0,5,0
Gulberang,9,Kimberley,Very Remote,Lake Argyle,0,0,0,0,0,0,0,0,9,0
Galeru Gorge,28,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,28,0,0,0,0
Galamanda,20,Kimberley,Very Remote,King Leopold Ranges,0,0,0,0,0,0,0,0,0,20
Ganinyi,25,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,25,0,0,0,0
Goolgaradah,4,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,4,0,0,0,0
Geboowama,9,Kimberley,Very Remote,Lake Argyle,0,0,0,0,0,0,0,0,9,0
Gilaroong,40,Kimberley,Very Remote,St George Ranges,0,0,0,0,0,0,0,0,0,40
Gilly Sharpe,5,Kimberley,Very Remote,St George Ranges,0,0,0,0,0,0,0,0,0,5
Gnylmarung,15,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,15,0
Gooda Binya,21,Pilbara,Very Remote,Marble Bar,9,0,0,0,0,0,0,0,0,4
Goolarrgon,1,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,1,0
Goolarabooloo,27,Kimberley,Remote,Waterbank,0,0,0,0,0,0,0,0,27,0
Goojarr Goonyool,7,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,7,0
Goodarl,0,Kimberley,Very Remote,Wyndham,0,0,0,0,0,0,0,0,0,0
Gubili,0,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,0,0
Guda Guda,60,Kimberley,Very Remote,Wyndham,0,0,0,0,0,0,0,0,60,0
Gudrum,0,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,0,0
Gudumul,0,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,0,0
Goose Hill,6,Kimberley,Very Remote,Wyndham,0,0,0,0,0,0,0,0,6,0
Gulumonon,20,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,20,0
Gumbarnun,15,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,15,0
Gunburr,0,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,0,0
Gurrbalgun,17,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,17,0
Honeymoon Beach,17,Kimberley,Very Remote,Drysdale River,0,0,0,0,0,0,0,0,17,0
Ilkurlka,0,Goldfields - Esperance,Very Remote,Beadell,0,0,0,0,0,0,0,0,0,0
Embalgun,29,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,29,0
Imintji,45,Kimberley,Very Remote,King Leopold Ranges,0,0,0,0,0,0,0,0,0,45
Innawonga,50,Pilbara,Very Remote,Rocklea,0,0,0,0,0,0,0,50,0,0
Irrungadji,86,Pilbara,Very Remote,Nullagine,0,0,0,0,0,0,0,90,0,0
Irrunytju,179,Goldfields - Esperance,Very Remote,Ngaanyatjarra-Giles,8,0,0,0,0,0,0,154,0,0
Jabir Jabir,6,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,6,0
Janterriji,6,Kimberley,Very Remote,Ord River,0,0,0,0,0,6,0,0,0,0
Jilariya,5,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,5,0,0,0,0
Jarlmadangah Burru,87,Kimberley,Very Remote,Camballin,0,0,0,0,0,0,0,0,30,38
Mudjarrl,5,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,5,0
Djibbinj,9,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,9,0
Jigalong,333,Pilbara,Very Remote,Newman,0,0,0,0,0,0,0,270,0,0
Jimbalakudunj,31,Kimberley,Very Remote,Camballin,0,0,0,0,0,0,0,0,0,31
Jimbilum,12,Kimberley,Very Remote,Kununurra,0,0,0,0,0,0,0,0,12,0
Julgnunn,8,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,8,0
Junjuwa,399,Kimberley,Very Remote,Fitzroy Crossing,19,0,0,0,0,27,0,0,27,169
Juwurlinji,25,Kimberley,Very Remote,Durack,0,0,0,0,0,0,0,0,25,0
Kadjina,40,Kimberley,Very Remote,St George Ranges,0,0,0,0,0,0,0,0,0,40
Kalungkurriji,23,Kimberley,Very Remote,Ord River,0,0,0,0,0,23,0,0,0,0
Kalumburu,412,Kimberley,Very Remote,Kalumburu,34,0,0,0,0,0,0,0,3,0
Kandiwal,25,Kimberley,Very Remote,Mitchell Plateau,0,0,0,0,0,0,0,0,25,0
Karmulinunga,45,Kimberley,Very Remote,Derby,0,0,0,0,0,7,0,0,21,30
Karnparri,9,Kimberley,Very Remote,St George Ranges,0,0,0,0,0,0,0,0,0,9
Kartang Rija,5,Kimberley,Very Remote,Ord River,0,0,0,0,0,5,0,0,0,0
Kearney Range,10,Kimberley,Very Remote,Tanami,0,0,0,0,0,10,0,0,0,0
Kiwirrkurra,165,Pilbara,Very Remote,Gibson Desert North,50,0,0,0,0,0,0,101,0,0
Koorabye,45,Kimberley,Very Remote,St George Ranges,0,0,0,0,0,3,0,0,0,36
Kupartiya,25,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,25,0,0,0,0
Kupungarri,92,Kimberley,Very Remote,King Leopold Ranges,3,0,0,0,0,0,0,0,0,31
Kurlku,10,Kimberley,Very Remote,St George Ranges,0,0,0,0,0,0,0,0,0,10
Kurnangki,108,Kimberley,Very Remote,Fitzroy Crossing,0,0,0,0,0,0,0,0,0,108
Kurrawang,90,Goldfields - Esperance,Remote,Mount Burges,0,0,0,0,0,0,0,20,0,0
Kutkabubba,20,Mid West,Very Remote,Wiluna,0,0,0,0,0,0,0,18,0,0
La Djardarr Bay,27,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,27,0
Larinyuwar,30,Kimberley,Very Remote,Kimbolton,0,0,0,0,0,0,0,0,0,30
Linga,12,Kimberley,Very Remote,Ord River,0,0,0,0,0,12,0,0,0,0
Lombadina,41,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,41,0
Loumard,0,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,0,0
Luluigui,0,Kimberley,Very Remote,Geegully Creek,0,0,0,0,0,0,0,0,0,0
Lumuku,11,Kimberley,Very Remote,Ord River,0,0,0,0,0,11,0,0,0,0
Koongie Park,31,Kimberley,Very Remote,Mueller Ranges,0,0,0,0,0,31,0,0,0,0
Lundja,34,Kimberley,Very Remote,Halls Creek,9,0,24,0,0,48,0,0,11,0
Mingalkala,47,Kimberley,Remote,Mueller Ranges,0,0,0,0,0,47,0,0,0,0
Mallingbar,6,Kimberley,Very Remote,Broome,0,0,0,0,0,0,0,0,6,0
Mandangala,42,Kimberley,Very Remote,Lake Argyle,0,0,0,0,0,0,0,0,42,0
Mantamaru,128,Goldfields - Esperance,Very Remote,Ngaanyatjarra-Giles,35,0,0,0,0,0,0,58,0,0
Mardiwah Loop,324,Kimberley,Very Remote,Halls Creek,9,0,24,0,0,48,0,0,11,0
Marmion Village,8,Goldfields - Esperance,Remote,Menzies,2,0,0,0,0,0,0,6,0,0
Marta Marta,10,Pilbara,Very Remote,De Grey,0,0,0,0,0,0,0,10,0,0
Maddarr,12,Kimberley,Very Remote,Dampier Peninsula,0,0,0,0,0,0,0,0,12,0
Mcgowan Island,5,Kimberley,Very Remote,Drysdale River,0,0,0,0,0,0,0,0,5,0
