City / Town,Population,long,latt
Mudjarrl,5,122.2919497,-17.07460399
Djibbinj,9,122.3169964,-17.05700724
Jigalong,333,120.7814877,-23.35979775
Jimbalakudunj,31,124.6447099,-17.89241675
Jimbilum,12,128.7010881,-15.8729841
Julgnunn,8,122.9836077,-16.61266475
Junjuwa,399,125.5662527,-18.17593062
Juwurlinji,25,128.1862092,-16.87040875
Kadjina,40,124.941733,-18.82525949
Kalungkurriji,23,128.061519,-17.20125001
Kalumburu,412,126.642079,-14.29491762
Kandiwal,25,125.8419712,-14.82066649
Karmulinunga,45,123.638932,-17.305121
Karnparri,9,125.6173705,-18.31407225
Kartang Rija,5,128.3620376,-17.90521887
Kearney Range,10,128.074776,-20.17185988
Kiwirrkurra,165,127.7647151,-22.81542974
Koorabye,45,124.7541806,-18.58425274
Kupartiya,25,126.2430047,-18.89303088
Kupungarri,92,125.9302468,-16.71994389
Kurlku,10,125.456769,-19.47992963
Kurnangki,108,125.5665377,-18.19973999
Kurrawang,90,121.3304669,-30.83044526
Kutkabubba,20,120.234063,-26.33000276
La Djardarr Bay,27,123.1495921,-16.88262399
Larinyuwar,30,123.6618697,-16.48526674
Linga,12,127.8949857,-18.40573262
Lombadina,41,122.8929629,-16.51608762
Loumard,0,122.8374957,-16.57388237
Luluigui,0,124.0307749,-18.14843205
Lumuku,11,128.2582252,-17.23605399
Koongie Park,31,127.5361557,-18.33907887
Lundja,34,127.6690642,-18.21085787
Mingalkala,47,126.1615472,-18.69446112
Mallingbar,6,122.2434214,-17.95726375
Mandangala,42,128.3577679,-16.54378175
Mantamaru,128,127.6651379,-25.86251426
Mardiwah Loop,324,127.6598,-18.21319449
Marmion Village,8,121.0274597,-29.69643439
Marta Marta,10,118.982753,-20.353956
Maddarr,12,123.1574192,-16.81912112
Mcgowan Island,5,126.6492052,-14.14572774
Mercedes Cove,6,122.5921425,-16.76566087
Milba,5,127.7556951,-18.17809474
Mimbi,17,126.0581287,-18.72639013
Mingullatharndo,29,117.2130532,-20.80438425
Billiluna,150,127.6617647,-19.55539637
Miniata,8,128.9247062,-15.85730037
Mindi Rardi,79,125.5630781,-18.19757474
Mirima,202,128.7399267,-15.75773012
Monbon,28,122.3311127,-17.05842175
Moongardie,26,126.4480589,-18.78049124
Morard,9,122.3781292,-17.059695
Mowla Bluff,6,123.6134667,-18.58958333
Mowanjum,312,123.7012084,-17.35549424
Mudnunn,8,122.9832121,-16.52765587
Yandeyarra,126,118.4031475,-21.28518751
Mulan,110,127.5950881,-20.10118237
Mulga Queen,45,122.0409222,-27.55674825
Muludja,163,125.7616366,-18.15971187
Mungullah,186,113.693757,-24.874832
Munmarul,14,125.7506667,-17.45576667
Munthanmar,9,128.7738354,-15.88358375
Murphy Creek,1,122.5697767,-16.9219845
Nambi Village,40,121.3328494,-28.87674463
Neem,10,122.5805375,-16.79016011
Ngallagunda,75,126.4325227,-16.42689199
Ngadalargin,2,122.417696,-16.99486862
Ngalingkadji,42,125.7081592,-18.65792213
Marunbabidi,0,126.1441858,-15.39814705
Jundaru,14,115.626866,-21.8442
Punju Njamal,6,118.830734,-20.364748
Lamboo Station,25,127.3503431,-18.46292337
Ngurawaana,30,116.984306,-21.411839
Ngumpan,40,126.0358326,-18.76916075
Ngurtuwarta,40,125.5196797,-18.27826313
Ngulwirriwirri,0,128.9320605,-15.90172524
Nicholson Block,60,127.6763582,-18.23686662
Nillygan,14,122.5524959,-16.88039171
Nillir Irbanjin,0,122.2362924,-17.94183524
Ningbingi,30,128.6785839,-15.24025049
Ninga Mia Village,56,121.4923321,-30.73158088
Norman Creek,9,122.5304013,-16.95117931
Nudugun,8,122.3353277,-17.16217499
Nulleywah,137,128.7367302,-15.76438275
Ngamakoon,30,122.916999,-16.44704374
Nunju Yallet,5,122.5573156,-16.88924194
Nulla Nulla,20,127.7888682,-15.54777587
Nygah Nygah,4,121.921215,-18.50574362
Jarlmadanka,7,123.9290118,-18.03488492
Nyumwah,10,122.9824802,-16.55720549
Loongabid,15,122.5448872,-16.97342774
Pago,3,126.7188664,-14.12452637
Papulankutja,176,128.2838797,-25.99831987
Parnngurr,153,122.5975457,-22.81755188
Parukupan,26,125.5757443,-18.21009377
Patch Up,5,127.567638,-18.30705
Patjarr,41,126.3126947,-24.61566975
Tjuntjuntjara,184,127.0977076,-29.34070426
Mia Maya,2,122.8531237,-16.72853449
Pia Wadjari,56,116.3920101,-27.12235275
Girriyoowa,42,126.767675,-18.721125
Parnpajinya,60,119.743448,-23.34176
Rarrdjali,12,122.6314552,-17.8259547
Robe River Junction,4,128.8943947,-17.04465187
Red Shells,3,122.626074,-16.80047098
Mud Springs,13,128.7712944,-15.87982225
Rocky Springs,0,126.6991244,-18.77014987
Crocodile Hole,16,128.1408477,-16.64209662
Tappers Inlet,12,122.5570522,-16.81100687
Tirralintji,13,126.4355248,-17.19575022
Tkalka Boorda,1,118.623868,-20.31315999
Tjirrkarli,62,125.4724387,-26.00029825
Tjukurla,54,128.7194001,-24.34772312
Malaburra,0,123.2375702,-17.08590225
Warburton,576,126.5778539,-26.13361187
Wakathuni,91,117.8317348,-22.86613036
Yiramalay,0,125.3670646,-17.74639274
Wanamulnyundong,20,121.8879504,-18.7450915
Wangkatjungka,254,125.9268694,-18.88522224
Warakurna,268,128.2877723,-25.00118842
Warmun,366,128.2121337,-17.02990106
Warralong,113,119.591761,-20.649954
Warrayu,45,128.1200362,-15.47975612
Gullaweed,15,123.0226857,-16.39789737
White Gum Park,0,122.60476,-17.03536682
Wijilawarrim,46,128.4683222,-15.82146668
Windidda,35,122.2129406,-26.38854775
Windjingayr,30,124.6194679,-17.17181062
Balgo,359,127.9830312,-20.1425135
Wongatha Wonganarra,51,122.3912332,-28.623075
Woolergerberleng,19,128.8533246,-15.86419161
Woolah,64,128.2464996,-16.30642512
Wuggubun,50,128.3793409,-15.95512111
Middle Lagoon,9,122.5762654,-16.77371449
Wungu,4,127.9983453,-18.32540787
Frog Hollow,50,128.0505897,-17.2753345
Yakanarra,134,125.2988232,-18.67164388
Ngarlan Burr,0,122.5696936,-16.9078425
Yandarinya,14,121.604746,-19.04214899
Yarri Yarri,0,124.4808182,-18.88133924
Dingo Springs,8,128.9305126,-16.01000575
Yawuru,7,122.3000224,-17.93282862
Yirralalem,20,128.6913396,-15.88817086
Yiyili,101,126.7542111,-18.71886663
Youngaleena,29,118.525908,-22.298094
Yulmbu,15,126.9010619,-17.27829486
Yulga Jinna,47,118.5577279,-25.6173055
Yungngora,409,124.8311109,-18.50322206
Karalundi,67,118.6837596,-26.12760038
Butchilbidi,0,127.4298195,-19.22929844
Budulah,26,123.648999,-17.30710499
Buningbarr,0,123.0135224,-16.38978935
Bungardi,9,125.6106708,-18.17165807
Burrinunga,30,123.641366,-17.30543699
Bygnunn,1,122.996773,-16.5241905
Carranya,0,127.7692556,-19.23120437
Carson River,0,126.7681567,-14.48882036
Camp 61,0,121.0764421,-22.90956062
Goombading,0,123.0229,-16.420704
Djilimbardi,0,124.8750734,-19.05823184
Djimung Nguda,8,123.645817,-17.30673099
Five Mile,0,120.190905,-21.9075735
Fletcher Family,0,127.8023411,-18.10660386
Gilungarra,0,127.5502762,-19.98023812
Goonjarlan,0,123.0312846,-16.67056636
Goobiny,0,122.5438776,-16.85829236
Gudargie,0,126.7494549,-17.76164124
Kumbrarumba,0,128.9824406,-15.68691825
Malangan,0,128.8742832,-17.38936112
Jalyirr,0,127.1676988,-20.65639797
Jinparinya,12,118.827845,-20.372818
Jinyaadi,0,123.2778986,-17.04710563
Djugaragyn,8,122.8686724,-16.7972245
Kalyadayan,0,121.8945387,-18.75393874
Karrku,0,127.9316669,-24.70805593
Kawarre,0,128.3418744,-17.33999112
Kayirriwarney,0,128.452229,-17.284167
Killi Killi,0,128.5987306,-20.27258337
Desert Gold,0,120.340002,-26.560624
Kurinyjarn,0,126.7806442,-18.7137353
Millargoon,0,122.583152,-16.77827074
Morrell Park,80,122.2538127,-17.90151571
Madunka Ewurry,0,118.5021961,-26.58606127
Majaddin,0,125.6674157,-16.04784675
Bindoola,0,127.8132194,-15.67720224
Munget,10,122.6222754,-16.7991302
Munjari,0,127.1762841,-18.39473866
Mundud,0,122.2856256,-17.08205581
Ngarantjadu,0,126.2230558,-19.38542466
Cattle Creek,0,128.8112361,-17.65470837
Ngildu,0,127.7290765,-15.23936824
Ngulupi,0,128.8996764,-20.52636624
Ngyallawilli,0,127.7294976,-18.42950111
Nilargoon,0,123.1785655,-16.42860949
Billanooka,0,120.8902856,-23.03736062
Nyilil,0,122.9889767,-16.60951512
Pantijan,0,125.054395,-15.96141275
Pipunya,0,119.7424279,-21.16995324
Puntawari,0,121.6044779,-23.59593307
Robertson Range,0,120.8098169,-23.455626
Rollah,8,121.702618,-18.731047
Strelley,0,119.0554606,-20.46716825
Walgun,0,120.7189499,-23.2019085
Worrimbah,0,125.0762509,-18.41291274
White Rock,0,127.4122664,-18.49054316
Windong,0,128.9336439,-15.87174405
Woodstock,0,118.934775,-21.534389
Flying Foxhole,0,128.6056944,-15.8333695
Wulununjur,0,123.2764822,-17.08582524
Yardoogarra,0,121.920747,-18.46154287
Yarrunga,0,127.8953813,-17.8676939
Yarramurral,0,127.6077779,-21.14000006
Woodgamia,41,115.2085029,-25.06203479
Bidan,12,123.1682212,-17.64477637
Tjalka Wara,0,118.6965564,-20.40459862
Wanarn,142,127.5417699,-25.28282213
Pandanus Park,135,123.659164,-17.73697174
Kanpa,18,125.6160509,-26.52650588
Punmu,145,123.1206547,-22.04400462
Kundat Djaru,179,128.6158472,-18.79404724
Wandanooka,40,115.6099194,-28.38470838
Kunawarritji,83,124.7257197,-22.3284345
Looma,531,124.1495415,-18.03923387
Djoodood,0,122.7998069,-16.66954374
Cheeditha,65,117.119702,-20.75181099
